chembl_id,smiles,standard_value,bioactivity
CHEMBL298450,Oc1nc2cc(Cl)ccc2c2ccc(Cl)cc12,240.0,active
CHEMBL596713,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2ncnc3ccccc23)CC1,1.4,active
CHEMBL4166130,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CC2(CNC2)C1,2395.0,intermediate
CHEMBL1652712,NC(=O)c1ccc2c(c1)[nH]c(=O)c1ccsc12,60.0,active
CHEMBL493498,CCS(=O)(=O)N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,12.0,active
CHEMBL495483,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCCN(Cc2ccccc2)CC1,18.0,active
CHEMBL521815,CN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,13.0,active
CHEMBL46196,COC(=O)c1ccc2c(c1)nc(O)c1cc(F)ccc12,37.0,active
CHEMBL1767061,Cc1cc2c(NC(=O)c3ccccc3)cccc2c(=O)[nH]1,16600.0,inactive
CHEMBL1767066,Nc1cccc2c(=O)n(CCC(=O)O)ccc12,550.0,active
CHEMBL397399,CC(C)(C)OC(=O)Cc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1,29.0,active
CHEMBL361054,O=c1[nH]c(=O)n(CCCCN2CC=C(c3ccccc3)CC2)c2cccc(F)c12,60.0,active
CHEMBL3764190,CN(C)Cc1cccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccccc2)c1,2.63,active
CHEMBL480227,O=C1NCCn2c(CN3CCCCC3)cc3cccc1c32,109.0,active
CHEMBL481403,CCOC(=O)c1ccc(CCc2nc3cccc4c3n2CCNC4=O)cc1,97.0,active
CHEMBL559385,O=C(c1cc2[nH]c(=O)c3ccccc3n2n1)N1CCC(CN2CCOCC2)CC1,1100.0,intermediate
CHEMBL109064,Oc1nc2ccccc2c2ncccc12,2900.0,intermediate
CHEMBL298053,O=C([O-])c1ccc2c(c1)nc(O)c1cc(F)ccc12,21.0,active
CHEMBL421605,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccc(Br)cc1,80.0,active
CHEMBL107659,CN1CC2CC1CN2c1ccc2nc(O)c3ccccc3c2n1,51.0,active
CHEMBL449084,COc1ccc(C(=O)CNC(=O)CCn2c3c(c(=O)[nH]c2=O)CCCC3)cc1,300.0,active
CHEMBL3644561,O=c1[nH]nc2c3c(cccc13)N=C(CN1CCN(c3ccccc3)CC1)N2,23.0,active
CHEMBL3644567,O=c1[nH]nc2c3c(cccc13)N=C(CNCc1ccc(Cl)c(Cl)c1)N2,18.0,active
CHEMBL3644579,O=C(c1ccccc1C(F)(F)F)N1CCCN(CC2=Nc3cccc4c(=O)[nH]nc(c34)N2)CC1,43.0,active
CHEMBL3593993,NC(=O)c1cc(F)cc2[nH]c(-c3ccc(-c4ccc(NC(=O)C5CC5)cc4F)cc3F)nc12,84.0,active
CHEMBL362762,Oc1nc(CCCN2CC=C(c3ccc(-c4ccccc4)cc3)CC2)nc2ccccc12,34.0,active
CHEMBL564505,CN1CCCN(C(=O)NCCc2c[nH]c3ccc4c(c23)CCNC4=O)CC1,58.0,active
CHEMBL250490,O=c1[nH]c(CCCN2CCC(c3ccc(F)cc3)CC2)nc2c(Cl)cccc12,47.0,active
CHEMBL250023,O=c1[nH]c(C2CCC(N3CC=C(c4ccccc4)CC3)CC2)nc2ccccc12,8400.0,intermediate
CHEMBL1767049,Cc1ccc(C(=O)Nc2cccc3c(=O)[nH]ccc23)cc1,13400.0,inactive
CHEMBL592230,CCC1(C(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c(C)c4C)ccc3F)CC2)CCCN1,3.8,active
CHEMBL480428,N#Cc1ccc(-c2cnc3c(C(N)=O)cccc3c2)cc1,27000.0,inactive
CHEMBL562117,COc1cc(-c2cc3[nH]c(=O)c4ccccc4n3n2)cc(OC)c1OC,30.0,active
CHEMBL3606024,NC(=O)c1cc(F)cc2c1C(=O)N(C1CCN(C3CCC(Cl)(Cl)CC3)CC1)C2,90.0,active
CHEMBL3427055,O=C(O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12,3.8,active
CHEMBL3764811,CN(C)Cc1ccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccc(CN(C)C)cc2)cc1,3.89,active
CHEMBL2322617,O=C(CN1CCc2cccc3c2C1CNC3=O)NC(Cc1ccccc1)C(=O)N1CC=C(c2ccc(F)cc2)CC1,490.0,active
CHEMBL2323543,O=C(CCN1CCc2cccc3c2C1CNC3=O)NCC(=O)N1CC=C(c2ccc(F)cc2)CC1,1100.0,intermediate
CHEMBL204849,O=C(O)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,80.0,active
CHEMBL201883,Cc1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,200.0,active
CHEMBL3617778,CCCCNCc1ccc(-c2cc3c4c(c[nH]c4c2)C(=O)NNC3=O)cc1,35.44,active
CHEMBL3617777,CC(C)NCc1ccc(-c2cc3c4c(c[nH]c4c2)C(=O)NNC3=O)cc1,465.4,active
CHEMBL3764640,CN(C)Cc1ccc(C2c3n[nH]c(=O)c4cccc(c34)NC2c2ccccc2)cc1,5.85,active
CHEMBL3763243,O=c1[nH]nc2c3c(cccc13)NC(c1ccc(CN3CCC3)cc1)C2c1ccccc1,3.63,active
CHEMBL370692,O=C1c2ccccc2C(=O)N1c1cccc(Cc2nnc(O)c3ccccc23)c1,180.0,active
CHEMBL3092541,O=C(CCc1nc2ccccc2c(=O)[nH]1)NC1CCc2ccccc21,510.0,active
CHEMBL4162843,COc1cccc2c(Nc3cccc(-c4nc5c(C(N)=O)cccc5[nH]4)c3)c3ccccc3nc12,970.0,active
CHEMBL4174599,Cc1ccc2nc3ccccc3c(Nc3ccc(-c4nc5c(C(N)=O)cccc5[nH]4)cc3)c2c1,100.0,active
CHEMBL4168839,NC(=O)c1cccc2[nH]c(-c3cccc(N)c3)nc12,30.0,active
CHEMBL134197,NC(=O)c1cccc2[nH]c(-c3ccc(N)cc3)nc12,30.0,active
CHEMBL589257,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2ncccn2)CC1,3.1,active
CHEMBL603457,O=C(c1ncc[nH]1)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,3.1,active
CHEMBL596933,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCCNCC1,2.6,active
CHEMBL595695,NC(=O)c1cc(F)cc2cn(-c3ccc(NC(=O)C4CNC4)cc3)nc12,5.0,active
CHEMBL610171,CNCc1ccc(-n2cc3cc(F)cc(C(N)=O)c3n2)cc1,1.4,active
CHEMBL595924,NC(=O)c1cccc2cn(-c3ccc(C(=O)NCc4ccncc4)cc3)nc12,10.0,active
CHEMBL593611,O=C1NCC2c3c(cccc31)CCN2Cc1ccccc1,190.0,active
CHEMBL595693,O=C1NCC2c3c(cccc31)CCN2C(=O)Oc1ccccc1,9.0,active
CHEMBL203884,CN(CCc1c[nH]cn1)C(=O)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,161.0,active
CHEMBL603318,O=C1NCC2c3c(cccc31)CCN2C(=O)c1ccccc1Cl,35.0,active
CHEMBL202848,CN(Cc1ccccn1)C(=O)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,237.0,active
CHEMBL595236,COc1cccc(CC(=O)N2CCc3cccc4c3C2CNC4=O)c1,5.0,active
CHEMBL593202,Cn1cc(CCC(=O)N2CCc3cccc4c3C2CNC4=O)cn1,14.0,active
CHEMBL593837,O=C1NCC2c3c(cccc31)CCN2C(=O)C1CCCC1,11.0,active
CHEMBL250013,O=c1[nH]c(C2=CC(N3CC=C(c4ccccc4)CC3)CC2)nc2ccccc12,16.0,active
CHEMBL2407969,CCNC(=O)c1ccc(N2CCN(Cc3cc4c(c(OCC)c3)OC(C)C(=O)N4)CC2)c(C)c1,55.0,active
CHEMBL596702,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C(=O)C4(N5CCCC5)CCCC4)CC3)c2)n[nH]c(=O)c1C,2.7,active
CHEMBL605552,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C(=O)C4(C)CCCN4)CC3)c2)n[nH]c(=O)c1C,2.8,active
CHEMBL108702,Nc1cccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)c1,20.0,active
CHEMBL400581,O=c1[nH]c(N2CC(N3CC=C(c4ccccc4)CC3)C2)nc2ccccc12,504.0,active
CHEMBL399635,O=c1[nH]c(N2CCC(N3CC=C(c4ccccc4)CC3)C2)nc2ccccc12,300.0,active
CHEMBL426116,CCN1CCCN(C(=O)c2cc(Cc3nnc(O)c4ccccc34)ccc2F)CC1,7.0,active
CHEMBL202758,CN1CCCN(C(=O)c2cc(Cc3nnc(O)c4ccccc34)ccc2F)CC1,9.0,active
CHEMBL204862,COc1ccc(NC(=O)N2CCCN(C(=O)c3cccc(Cc4nnc(O)c5ccccc45)c3)CC2)cc1,8.0,active
CHEMBL198230,CC1CCC2N=C(CCCN3CC=C(c4ccccc4)CC3)NC(=O)C2C1,274.0,active
