chembl_id,smiles,standard_value,bioactivity,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL590058,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCCCC1,200.0,active,422.28700000000026,4.2904000000000035,1.0,3.0
CHEMBL325336,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCCC2)NCC(=O)N1CCN(c2ncccn2)CC1,900.0,active,455.51900000000023,-0.5493999999999977,2.0,8.0
CHEMBL189695,O=S(=O)(NCCCNN1CCOCC1)c1cc2c(cc1F)-c1nc(O)c3ccccc3c1C2,450.0,active,472.5420000000002,2.1559,3.0,7.0
CHEMBL420964,O=C(CCN1CCC(N2CCCC2)CC1)N1CCc2c(nc(O)c3ccccc23)C1,243.0,active,408.5460000000001,2.775400000000001,1.0,5.0
CHEMBL4168250,Cc1ccc2nc3ccccc3c(Nc3cccc(-c4nc5c(C(N)=O)cccc5[nH]4)c3)c2c1,510.0,active,443.5100000000002,6.082220000000004,3.0,4.0
CHEMBL47371,Cc1cccc2c(O)nc3cc(C(F)(F)F)c([N+](=O)[O-])cc3c12,136.0,active,322.2420000000001,4.3290200000000025,1.0,4.0
CHEMBL381382,O=C(NC1CCCC1)C1CCN(C(=O)c2cccc(Cc3nnc(O)c4ccccc34)c2)CC1,15.0,active,458.5620000000003,3.837200000000003,2.0,5.0
CHEMBL3219282,CN(C)Cc1cc2c([nH]c(=O)c3ccccc32)s1,180.0,active,258.346,2.8044000000000002,1.0,3.0
CHEMBL124815,O=C1NC(CCCl)Oc2ccccc21,8500.0,intermediate,211.64800000000002,1.7638,1.0,2.0
CHEMBL417002,O=S(=O)(NCCN1CCCCC1)c1ccc2nc(O)c3ccccc3c2c1,36.0,active,385.4890000000001,2.857800000000001,2.0,5.0
CHEMBL298450,Oc1nc2cc(Cl)ccc2c2ccc(Cl)cc12,240.0,active,264.111,4.400400000000002,1.0,2.0
CHEMBL596713,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2ncnc3ccccc23)CC1,1.4,active,551.4090000000001,4.569900000000003,1.0,6.0
CHEMBL4166130,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CC2(CNC2)C1,2395.0,intermediate,378.4070000000002,1.6984,2.0,4.0
