molecule_chembl_id,canonical_smiles,standard_type,relation,standard_value,standard_units
CHEMBL4174093,N#Cc1cccnc1N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)cc(F)c2F)CC1,Inhibition,,,%
CHEMBL4458129,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,IC50,'=',60.0,nM
CHEMBL3105893,NC(=O)Cn1ccc2ccc(-c3ccc(CN4CCCC4)cc3)nc21,IC50,'>',5000.0,nM
CHEMBL506871,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,IC50,'=',5.2,nM
CHEMBL521686,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,IC50,'=',4.5,nM
CHEMBL1092145,COCCN1CCC(Oc2ccc3[nH]c(=O)c4c(c3c2)CCSC4)CC1,IC50,'=',40.0,nM
CHEMBL1092778,CCCN1CCCC(Oc2ccc3[nH]c(=O)c4c(c3c2)CCSC4)C1,IC50,'=',56.0,nM
CHEMBL589834,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCC(N2CCC2)CC1,IC50,'=',1.0,nM
CHEMBL604040,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2ccccn2)CC1,IC50,'=',2.8,nM
CHEMBL592543,CC(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,IC50,'=',2.1,nM
CHEMBL599596,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCOCC1,IC50,'=',59.0,nM
CHEMBL590058,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCCCC1,IC50,'=',200.0,nM
CHEMBL597889,NC(=O)c1cccc2c1C(=O)N(C1CCNC1)C2,Ki,'=',59.0,nM
CHEMBL611980,CN(C)c1ccc(N2Cc3cccc(C(N)=O)c3C2=O)cc1,Ki,'=',70.0,nM
CHEMBL589751,NC(=O)c1cccc2c1C(=O)N(Cc1cccnc1)C2,EC50,,,
